id,album_title,eng_album_title,album_rd,album_seq,track_title,raw_track_title,eng_track_title,lyrics,hidden_track,remix,featured,performed_by,repackaged,lang,has_full_ver,is_alt_lang_ver,spotify_album_id,spotify_track_duration_ms,spotify_track_id,spotify_track_danceability,spotify_track_energy,spotify_track_key,spotify_track_loudness,spotify_track_mode,spotify_track_speechiness,spotify_track_acousticness,spotify_track_instrumentalness,spotify_track_liveness,spotify_track_valence,spotify_track_tempo,spotify_track_time_signature,eng_lyrics_source_url,eng_lyrics_credits
JIN-1,"HWARANG, Pt. 2 (Music from the Original TV Series)","HWARANG, Pt. 2 (Music from the Original TV Series)",2016-12-20,1,It's Definitely You (죽어도 너야),죽어도 너야,It's Definitely You,"In my cracked heart
Your cold sighs
Like a slowly withering flower
Fall onto my heart
This damn love, because of you
I can't move even if I'm hurt
Even if I die, it's definitely you
Without you, tears fill up my heart
It's just black hell
To me, that's who you are

Don't leave me
Don't leave me
Turn the footsteps of your heart back to me
I really want you, I put my life on the line
Take me into the scattered light
To the end of the world
Na na na na na na
It's gotta be you
Na na na na na na
It's gotta be you
Na na na na na na
Whoa, whoa, whoa
I can't let go

The key of my fate that I gave to the sky
It's in my hands again
I swallow in a long sigh and burn up my soul
So I can have you
This damn love, because of you
I can't quit even if I'm hurt
Even if I die, it's definitely you
Without you, I have no blood or tears
I become a dangerous shadow
To me, that's who you are

Don't leave me
Don't leave me
Turn the footsteps of your heart back to me
I really want you, I put my life on the line
Take me into the scattered light
To the end of the world
Na na na na na na
It's gotta be you
Na na na na na na
It's gotta be you
Na na na na na na
Whoa, whoa, whoa
I can't let go
I'll sacrifice myself to protect you
I'll do it obviously
I will make this crisis into an opportunity
You are my best decision, nothing can stop me
Take me into the scattered light
To the end of the world
Na na na na na na
It's gotta be you
Na na na na na na
It's gotta be you
Na na na na na na
Whoa, whoa, whoa
I can't let go

Na na na na na na
Na na na na na na",FALSE,FALSE,,JIN; V,FALSE,KOR,FALSE,FALSE,0sL76PXbgRh97MTzadqEMa,230693,2LowwiemmGMzzNSH1PJprK,0.737,0.731,10,-3.193,0,0.0706,0.241,0,0.087,0.761,94.999,4,,
JIN-2,"HWARANG, Pt. 2 (Music from the Original TV Series)","HWARANG, Pt. 2 (Music from the Original TV Series)",2016-12-20,2,It's Definitely You - Instrumental,죽어도 너야 - Instrumental,It's Definitely You - Instrumental,,FALSE,FALSE,,,FALSE,NA,FALSE,FALSE,0sL76PXbgRh97MTzadqEMa,230719,1bItNehmEre5eCsR5IVUNX,0.613,0.727,10,-5.002,0,0.0381,0.000596,0.832,0.0863,0.795,95.016,4,,
JIN-3,Tonight,Tonight,2019-06-05,1,Tonight (이 밤),이 밤,Tonight,"When this night passes
I'm afraid I won't be able to see you
The utterly clear gaze
The touch I got too used to
The face that smiled at me
Will I be unable to see you again anymore?

In my every day
You are there
In your every day
I'm there
When the moon is gone
And the sun rises
The one who has been with me
Will you be gone?

When I close my eyes
I feel like it will remind me of the times that we were together
When I close my eyes
I feel like I will think of only the happy memories again

When I close my eyes
When I close my eyes

When I close my eyes
I feel like it will remind me of the times that we were together
When I close my eyes
I feel like I will think of only the happy memories again

When this night passes
I'm afraid I won't be able to see you
When this night passes
I'm afraid that I'll be left alone",FALSE,FALSE,,JIN,FALSE,KOR,FALSE,FALSE,4CwQ2ExjGm91njJC8dWWiv,178806,2P6PLe4ojigLUp4CWMkcAI,0.603,0.418,11,-7.431,1,0.0441,0.673,0,0.132,0.346,77.457,4,,
JIN-4,Abyss,Abyss,2020-12-03,1,Abyss,,Abyss,"I hold my breath and enter my ocean
I face beautiful yet sadly crying me
Myself in the darkness

I want to find you and tell you
Today, I want to get to know you even more, yeah

Still, I remain with myself
My voice doesn't come out, I just circle around
That dark place that I wanted to be lost in, I want to go there
I'll be there
Today again, I circle around you

The closer I get to you, the more I become breathless
And it feels like you arе getting even furthеr away
Maybe you went deeper into that sea, yeah
Myself in that sea

I want to find you and tell you
Today, I want to get to know you even more, yeah

Still, I remain with myself
My voice doesn't come out, I just circle around
That dark place that I wanted to be locked in, I want to go there
I'll be there
Today again, I close my eyes by your side",FALSE,FALSE,,JIN,FALSE,KOR,FALSE,FALSE,0vyG4FyBIHURVJjQT0RDvG,155108,40BomFCBuJok3OjxM9oG7e,0.434,0.506,0,-5.359,1,0.0317,0.535,0,0.163,0.346,143.776,4,,
JIN-5,Jirisan (Original Television Soundtrack) Pt. 4,Jirisan (Original Television Soundtrack) Pt. 4,2021-11-07,1,Yours,,Yours,"As the night gets deeper, my shadow grows longer
In the distance, the sun sets
I must be wandering around in the darkness as it grows thicker
Have I been locked in here?

You’re still breathing, somewhere
That’s where I have to go

Every day you seem too far away
Every time you do I tell myself
Just keep waiting here
Every night I see you in my heart
Every time I do I end up crying
If I cry out your name in the darkness

What comes back to me
are my heavy breaths

This place where time has come to a stop
Now it’s time for it all to go back

Every day you seem too far away
Every time you do I tell myself
Just keep waiting here
Every night I see you in my heart
Every time I do I end up crying
If I cry out your name in the darkness

Where the flickering sun takes a breath
I’m still stuck the way I was
Every day you seem too far away
Every time you do I tell myself
Just keep waiting here
Every night I see you in my heart
Every time I do I end up crying
If I cry out your name in the darkness",FALSE,FALSE,,JIN,FALSE,KOR,FALSE,FALSE,145FYiluHlYCPGO2MOLhU4,264840,66sBTYlkaiyBwf4fhbIHlZ,0.488,0.427,6,-7.383,1,0.0382,0.354,0,0.0797,0.157,72.035,4,https://bts-trans.tumblr.com/post/667204108964577280/koreng-lyrics-yours-by-bts-jin-jirisan-ost,Trans cr; Faith | Spot Check cr; Aditi @ bts-trans
JIN-6,Jirisan (Original Television Soundtrack) Pt. 4,Jirisan (Original Television Soundtrack) Pt. 4,2021-11-07,2,Yours - Instrumental,,Yours - Instrumental,,FALSE,FALSE,,,FALSE,NA,FALSE,FALSE,145FYiluHlYCPGO2MOLhU4,264853,6zSTivatZLiVJ63bRzjIF1,0.406,0.336,3,-12.313,0,0.0294,0.0187,0.839,0.0853,0.039,72.002,4,,
JIN-7,Super Tuna,Super Tuna,2021-12-04,1,Super Tuna (슈퍼 참치),슈퍼 참치,Super Tuna,"Tuna!
Hah!
Tuna!
Super tuna!

My heart is beating, flap-flap
Where did my fish go?
East sea, west sea
Where is my fish?

It would be great if it's tuna
It would be great if it’s flatfish
It would be great if it's mackerel too
It would be great if it's a shark too
Please bite on my fishing rod
At that moment the tuna asked me
Hyung, hyung, please take me

Tuna!
Hah!
Tuna!
Let’s go!

Woah, woah
Flap-flap
Woah, woah
Super tuna",FALSE,FALSE,,JIN,FALSE,KOR,TRUE,FALSE,7vreT3Vciy3cTiidhsw9Y2,68363,5EaVikAxSRponyifRP6Fhp,0.636,0.965,11,-6.033,0,0.199,0.00407,3.19E-06,0.0743,0.44,165.015,4,,
JIN-8,The Astronaut,The Astronaut,2022-10-28,1,The Astronaut,,The Astronaut,"You and me, an unending history
Oh, you became my universe
The story of us
Like that asteroid drifting by without a destination
I, too, was just drifting along
Every dream I found in the darkness
Starting anew this story

When I'm with you
There is no one else
I get heaven to myself
When I’m with you
There is no one else
I feel this way I've never felt

You and me
Like a star that doesn't shatter
Becoming your dream
To travel throughout the universe
Just as the Milky Way shines upon the darkest roads
You were shining towards me
The only light found in the darkness
On my path to you

When I’m with you
There is no one else
I get heaven to myself
When I'm with you
There is no one else
I feel this way I never felt

I feel this way I never felt
Oh-oh-oh-oh-oh-oh-oh

When I'm with you
There is no one else
I get heaven to myself
When I'm with you
There is no one else
A life, a sparkle in your eyes
Heaven coming through

And I love you
And I love you
Oh-oh-oh-oh-oh-oh-oh",FALSE,FALSE,,JIN,FALSE,KOR,FALSE,FALSE,6nT2VfGN07ar1vdZyJY6ox,282463,0h7QMc9ZRzA9QJrbEHytn2,0.54,0.761,5,-5.356,1,0.0311,0.00446,2.50E-06,0.137,0.215,124.988,4,,
JIN-9,Super Tuna,Super Tuna,2024-10-11,1,Super Tuna,슈퍼 참치,Super Tuna,"Tuna
Hah
Tuna
Super tuna

Jumping, jumping heart's a-thumping
Oh where did my fish go
To the East Sea, to the West Sea
Where oh where could my fish be

Whether it's tuna-fish
Whether it's flat-fish
Whether it's seer-fish
Whether it's shark-fish
Please bite my fishing rod
And right then, a tuna came to me
""Hey, take me with you brother""

Tuna
Hah
Tuna
Let's go

Woah, woah
Jumping, jumping
Woah, woah
Super tuna

I cast my fishing rod
Who's coming to me today?
Dizzy spinning bluefin tuna
You'll grow to be one fine tuna
Jumping here and there, jumping, jumping everywhere
Your eyes are sparkling, let’s be friends
Please bite my fishing rod
And right then, a tuna came to me
""Hey, take me with you brother""

Tuna
Hah
Tuna
Let's go

Woah, woah
Jumping, jumping
Woah, woah
Super tuna",FALSE,FALSE,,JIN,FALSE,KOR,FALSE,FALSE,7urG1JarAksXgoLSp5OfnT,114693,4pygz13A6EcLL6ti7kqGaf,0.641,0.964,8,-4.041,0,0.149,0.0063,0.00E+00,0.0447,0.601,165.005,4,,
JIN-10,I'll Be There,I'll Be There,2024-10-25,1,I'll Be There,,I'll Be There,"Woo
One, two, three

All these busy people
How does anyone get by in this tough world
Oh-oh-oh (Oh-oh-oh)
Giving something greater than just the little things
That’s what I live for

I will be there forever
I’ll stay the same, I’ll be there for you
There for you
Oh-oh-oh (Oh-oh-oh)
With this song I say to you
I swear that I will always sing for you
Sing for you
Oh-oh-oh
I’ll be there for you

Ooh-ooh, ooh-ooh
Ooh-ooh, ooh-ooh (Oh)
Ooh-ooh, ooh-ooh
I'll be there for you

Just smile, that’s it
So everyone can feel it
Smile bright, we can all be happy
Oh-oh-oh (Oh-oh-oh)
It don’t matter the timе
It don’t matter the place
Takе the ordinary, make it extraordinary

I will be there forever
I’ll stay the same, I’ll be there for you
There for you
Oh oh oh (oh oh oh)
With this song I say to you
I swear that I will always sing for you
Sing for you
Oh oh oh
I’ll be there for you

Ooh, ooh, ooh-ooh
Ooh, ooh, ooh-ooh (Yeah, yeah, yeah)
Ooh, ooh, ooh-ooh
I'll be there for you

When you feel down
When you feel all alone
When you need someone to lean on
I’ll be there for you

I will be there forever
I’ll stay the same, I’ll be there for you
There for you
Oh oh oh (oh oh oh)
With this song I say to you
I swear that I will always sing for you
Sing for you
Oh oh oh
I’ll be there for you

Ooh, ooh, ooh-ooh
Ooh, ooh, ooh-ooh
Ooh, ooh, ooh-ooh
I'll be there for you",FALSE,FALSE,,JIN,FALSE,KOR,FALSE,FALSE,6OdmwetSmFXZhBrNJFKvay,181677,2Qcbspnftnon37jibwyvMU,0.538,0.738,10,-2.412,1,0.0445,0.0351,0.00E+00,0.0898,0.736,148.887,4,,
